id,description,important
JumpP1,高さおよび距離が非常によい,true
JumpP2,踏切および着氷がよい,true
JumpP3,開始から終了まで無駄な力がまったくない,true
JumpP4,ジャンプの前にステップ，予想外または創造的な入り方,false
JumpP5,踏切から着氷までの身体の姿勢が非常によい,false
JumpP6,要素が音楽に合っている,false
SpinP1,スピン中の回転速度および／または回転速度の増加が十分,true
SpinP2,よくコントロールされた，明確な姿勢,true
SpinP3,開始から終了まで無駄な力がまったくない,true
SpinP4,回転軸が維持されている,false
SpinP5,創造的および／またはオリジナリティがある,false
SpinP6,要素が音楽に合っている,false
StepSequenceP1,エッジが深く，明確なステップおよびターン，全身のコントロール,true
StepSequenceP2,要素が音楽に合っている,true
StepSequenceP3,エネルギー，流れ，出来栄えが十分で，開始から終了まで無駄な力がまったくない,true
StepSequenceP4,創造的および／またはオリジナリティがある,false
StepSequenceP5,氷面を十分にカバーしている，あるいは，パターンが興味深い,false
StepSequenceP6,シークェンス中の加減速が十分,false
ChoreographicSequenceP1,創造的および／またはオリジナリティがある,true
ChoreographicSequenceP2,要素が音楽と合っており，プログラムのコンセプト／特徴を反映している,true
ChoreographicSequenceP3,エネルギー，流れ，出来栄えが十分で，開始から終了まで無駄な力がまったくない,true
ChoreographicSequenceP4,氷面を十分にカバーしている，あるいは，パターンが興味深い,false
ChoreographicSequenceP5,十分に明確で正確,false
ChoreographicSequenceP6,全身の優れた関わりとコントロール,false
